#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts totals,Drets reconeguts nets
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,12000.0,0.0,12000.0,11542.3,11542.3
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,3700000.0,0.0,3700000.0,3539459.86,3514564.42
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,650000.0,0.0,650000.0,641456.33,632733.14
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,1000000.0,0.0,1000000.0,1180353.25,1128380.25
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,1510000.0,0.0,1510000.0,1550962.55,1548707.66
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",340000.0,0.0,340000.0,602974.65,602796.95
30000,ABASTAMENT D'AIGUA,0.0,0.0,0.0,7287.6,7287.6
30200,RECOLLIDA ESCOMBRARIES,348000.0,0.0,348000.0,362736.95,344995.15
30500,CEMENTIRI MUNICIPAL,15000.0,0.0,15000.0,9583.25,9583.25
31100,ACTIVITATS SERVEIS SOCIALS,3000.0,0.0,3000.0,4164.0,4164.0
31200,ACTIVITATS ENSENYAMENT,18400.0,0.0,18400.0,14790.55,14647.72
31201,PLA DE FORMACIÓ,5000.0,0.0,5000.0,1877.0,1877.0
31301,ACTIVITATS ESPORTIVES,1000.0,0.0,1000.0,906.0,906.0
31306,INSTAL·LACIONS ESPORTIVES,1000.0,0.0,1000.0,0.0,0.0
31400,ACTIVITATS CULTURALS,4000.0,0.0,4000.0,4346.0,4346.0
31500,ACTIVITATS JUVENILS,44000.0,0.0,44000.0,37058.56,36943.56
31600,ACTIVITATS PROMOCIÓ ECONÒMICA,2000.0,0.0,2000.0,0.0,0.0
31903,RECOLLIDA ANIMALS DOMÈSTICS,2000.0,0.0,2000.0,4006.5,1451.25
32100,LLICÈNCIES URBANÍSTIQUES,110000.0,0.0,110000.0,191629.31,191586.11
32500,SERVEIS ADMINISTRATIUS,8000.0,0.0,8000.0,14912.97,14912.97
32600,TAXA PER RETIRADA DE VEHICLES,14000.0,0.0,14000.0,11139.0,10595.0
32700,LLICÈNCIES AUTOTAXIS,1000.0,0.0,1000.0,0.0,0.0
32800,LLICÈNCIES OBERTURA ESTABLIMENTS,110000.0,0.0,110000.0,95268.04,94052.07
32901,TAXA LLICENCIA GOSSOS POTENCIALMENT PERILLOSOS,0.0,0.0,0.0,41.9,41.9
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,85000.0,0.0,85000.0,91069.72,88618.39
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,350000.0,0.0,350000.0,254133.09,254129.9
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,7000.0,0.0,7000.0,6402.88,6402.88
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,81000.0,0.0,81000.0,49922.82,49922.82
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",40000.0,0.0,40000.0,36502.16,35170.78
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,9000.0,0.0,9000.0,1834.8,1834.8
34201,ESCOLA BRESSOL,214000.0,0.0,214000.0,195623.6,195155.09
34901,PREU PUBLIC PRESTACIÓ SERVEIS CAN GAVARRA,12000.0,0.0,12000.0,44299.55,44299.55
38900,ALTRES REINTEGRAMENTS D'OPERACIONS CORRENTS,0.0,0.0,0.0,500.0,500.0
39100,MULTES PER INFRANCCIONS URBANÍSTIQUES,40000.0,0.0,40000.0,300.0,250.0
39120,MULTES TRANSIT,50000.0,0.0,50000.0,50140.35,34012.5
39190,ALTRES MULTES I SANCIONS,5000.0,0.0,5000.0,24804.5,24403.5
39200,RECÀRREC D'EXTEMPORANEÏTAT,6000.0,0.0,6000.0,10961.06,10367.77
39300,INTERESSOS DE DEMORA,70000.0,0.0,70000.0,34685.25,33661.5
39901,ALTRES INGRESSOS DIVERSOS,15000.0,0.0,15000.0,13418.91,12414.57
39903,COMPENSACIÓ CÀNON DE DEPOSICIÓ RESIDUS,40000.0,0.0,40000.0,70400.44,68275.59
39904,GESTIÓ RECOLLIDA RESIDUS DEIXALLERIA,15000.0,0.0,15000.0,20865.46,20865.46
39906,RECLAMACIÓ DANYS,0.0,6410.11,6410.11,12231.33,11380.37
