#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
01,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,118468.0,0.0,118468.0,33848.0
01,912,22601,DESPESES DIVERSES,4000.0,0.0,4000.0,934.91
01,912,48303,APORTACIÓ AL GP.. I P CATALUNYA PELS  VERDS ESQUERRA ALT.ENT,4289.0,0.0,4289.0,1072.05
01,912,48300,APORTACIO A GRUPS POLITICS,0.0,0.0,0.0,0.0
01,912,48304,APORTACIO AL GP ASOC.GUANYEM/GANEMOS POLINYÀ SI SE PUEDE,5009.0,0.0,5009.0,1252.05
01,912,48302,APORTACIÓ AL GRUP POLÍTIC  CONVERGÈNCIA I UNIÓ,6449.0,0.0,6449.0,1612.05
01,912,22200,SERVEIS DE TELECOMUNICACIONS,0.0,0.0,0.0,0.0
01,912,48306,APORTACIÓ AL GRUP POLÌTIC ESQUERRA REPUBLICANA DE CATALUNYA,4289.0,0.0,4289.0,1072.05
01,912,23300,ALTRES INDEMNITZACIONS,19000.0,0.0,19000.0,5308.0
01,912,48301,APORTACIO AL GRUP POLÍTIC CANDIDATURA DE PROGRÉS,6449.0,0.0,6449.0,1612.05
01,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,38561.0,0.0,38561.0,9435.57
01,912,48305,APORTACIÓ AL GRUP POLÍTIC PARTIT POPULAR,4289.0,0.0,4289.0,1072.05
01,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300.0,0.0,300.0,0.0
01,912,23100,LOCOMOCIÓ MEMBRES ÒRGANS DE GOVERN,500.0,0.0,500.0,0.0
01,920,12006,TRIENNIS,2754.0,0.0,2754.0,771.55
01,920,12101,COMPLEMENT ESPECÍFIC,26824.0,0.0,26824.0,7664.0
01,920,15000,PRODUCTIVITAT,1800.0,0.0,1800.0,0.0
01,920,12100,COMPLEMENT DE DESTINACIÓ,9895.0,0.0,9895.0,2827.24
01,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,0.0,0.0,0.0,0.0
01,920,14300,ALTRE PERSONAL ATÍPIC,0.0,0.0,0.0,0.0
01,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,25497.0,0.0,25497.0,6377.8
01,920,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,35137.0,0.0,35137.0,9402.3
01,920,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,8473.0,0.0,8473.0,2415.48
01,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,0.0,0.0,0.0,0.0
01,920,15100,GRATIFICACIONS,0.0,0.0,0.0,0.0
01,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,10181.0,0.0,10181.0,2810.22
02,011,91100,AMORTITZ. PRESTECS A MIG I LLARG DEL S.PUB.,85000.0,0.0,85000.0,71598.93
02,011,91300,AMORTITZACIO PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,735853.0,0.0,735853.0,187256.07
02,011,91302,AMORTITZACIÓ PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,30147.0,0.0,30147.0,0.0
02,011,31000,INTERESSOS PRÉSTEC DEL SECTOR PRIVAT I OP. TRESORERIA,41000.0,0.0,41000.0,8608.61
02,221,16000,SEGURETAT SOCIAL FORMACIÓ I ACCIÓ SOCIAL,8640.0,0.0,8640.0,0.0
02,221,16204,ACCIÓ SOCIAL PERSONAL,28140.0,0.0,28140.0,285.0
02,221,16200,FORMACIO I PERFECCIONAMENT PERSONAL,10000.0,0.0,10000.0,225.0
02,221,16106,INDEMNITZACIONS,0.0,0.0,0.0,1153.74
02,912,22200,SERVEIS DE TELECOMUNICACIONS,0.0,0.0,0.0,0.0
02,920,22706,TREBALLS TECNICS REALITZATS ALTRES EMPRESES,21000.0,1647.17,22647.17,5936.98
02,920,22699,DESPESES DIVERSES,6000.0,0.0,6000.0,2825.29
