#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,12000.0,0.0,12000.0,0.0
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,3350000.0,0.0,3350000.0,7611.39
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,650000.0,0.0,650000.0,634052.6
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,1500000.0,0.0,1500000.0,-137248.1
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,1600000.0,0.0,1600000.0,257.2
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",400000.0,0.0,400000.0,172967.11
30000,ABASTAMENT D'AIGUA,0.0,0.0,0.0,0.0
30200,RECOLLIDA ESCOMBRARIES,285000.0,0.0,285000.0,1425.0
30201,SERVEI RECOLLIDA ESCOMBRARIES INDUSTRIALS,71000.0,0.0,71000.0,0.0
30500,CEMENTIRI MUNICIPAL,15000.0,0.0,15000.0,495.6
31100,ACTIVITATS GENT GRAN,4000.0,0.0,4000.0,1578.0
31200,ACTIVITATS ENSENYAMENT,0.0,0.0,0.0,0.0
31201,PLA DE FORMACIÓ,3000.0,0.0,3000.0,1055.0
31301,ACTIVITATS ESPORTIVES,1000.0,0.0,1000.0,1080.2
31306,INSTAL·LACIONS ESPORTIVES,1000.0,0.0,1000.0,0.0
31400,ACTIVITATS CULTURALS,4000.0,0.0,4000.0,252.0
31500,ACTIVITATS JUVENILS,40000.0,0.0,40000.0,175.0
31600,ACTIVITATS PROMOCIÓ ECONÒMICA,2000.0,0.0,2000.0,0.0
31903,RECOLLIDA ANIMALS DOMÈSTICS,1500.0,0.0,1500.0,50.0
32100,LLICÈNCIES URBANÍSTIQUES,175000.0,0.0,175000.0,53590.91
32200,CEDULES D'HABILITAT I LLICÈNCIES DE PRIMERA OCUPACIÓ,30000.0,0.0,30000.0,13248.44
32500,SERVEIS ADMINISTRATIUS,7000.0,0.0,7000.0,3089.52
32600,TAXA PER RETIRADA DE VEHICLES,10000.0,0.0,10000.0,2540.0
32700,LLICÈNCIES AUTOTAXIS,500.0,0.0,500.0,0.0
32800,LLICÈNCIES ACTIVITATS,153600.0,0.0,153600.0,37015.84
32901,TAXA LLICENCIA GOSSOS POTENCIALMENT PERILLOSOS,500.0,0.0,500.0,165.6
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,90000.0,0.0,90000.0,5102.29
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,300000.0,0.0,300000.0,57935.82
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,6000.0,0.0,6000.0,64.97
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,81000.0,0.0,81000.0,15153.08
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",40000.0,0.0,40000.0,9169.19
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,3000.0,0.0,3000.0,0.0
34201,ESCOLA BRESSOL,210000.0,0.0,210000.0,49172.54
34900,PREU PÚBLIC PER INSERCIÓ PUBLICITAT,0.0,0.0,0.0,0.0
34901,PREU PUBLIC PRESTACIÓ SERVEIS CAN GAVARRA,60000.0,0.0,60000.0,20391.86
38900,Altres reintegraments d'operacions corrents,0.0,0.0,0.0,55.3
39100,MULTES PER INFRACCIONS URBANISTIQUES,0.0,0.0,0.0,319.62
39120,MULTES TRANSIT,40000.0,0.0,40000.0,18610.0
39130,MULTES COERCITIVES AREA TERRITORI,10000.0,0.0,10000.0,0.0
39190,ALTRES MULTES I SANCIONS,25000.0,0.0,25000.0,9700.0
39200,RECÀRREC D'EXTEMPORANEÏTAT,6000.0,0.0,6000.0,574.57
39300,INTERESSOS DEUTES TRIBUTÀRIES I ALTRES,50000.0,0.0,50000.0,-27048.71
39710,Altres ingressos per aprofitaments urbanístics.,0.0,0.0,0.0,0.0
39901,ALTRES INGRESSOS DIVERSOS,15000.0,0.0,15000.0,15809.45
39903,COMPENSACIÓ CÀNON DE DEPOSICIÓ RESIDUS,45000.0,0.0,45000.0,3134.0
39904,GESTIÓ RECOLLIDA RESIDUS DEIXALLERIA,20000.0,0.0,20000.0,1511.86
39906,RECLAMACIÓ DANYS,0.0,0.0,0.0,27357.24
39907,INGRESSOS PER EXECUCIONS SUBSIDIÀRIES,0.0,0.0,0.0,0.0
39910,Ingressos per cessions habitatge social,0.0,0.0,0.0,2191.84
42000,PARTICIPACIONS EN ELS TRIBUTS DE L'ESTAT,1595000.0,0.0,1595000.0,397875.99
42090,ALTRES TRANF CORRENTS DE LA ADMON GENERAL DE L'ESTAT,0.0,0.0,0.0,2197.94
45000,FONS DE COOPERACIÓ,130000.0,0.0,130000.0,0.0
45002,CONVENIS DE MANTENIMENT DE SERVEIS SOCIALS,25600.0,0.0,25600.0,0.0
45080,DE L'ADMINISTRACIÓ GENERAL DE LA COMUNITAT AUTÒNOMA,85000.0,2344.48,87344.48,80143.76
45100,TRANSFERÈNCIES D'ORGANISMES AUTÒNOMS DE LA COM.AUTÒNOMA,20000.0,0.0,20000.0,0.0
46100,ALTRES TRANSFERÈNCIES,370000.0,47300.78,417300.78,121120.45
46500,ALTRES TRANSFERÈNCIES,150000.0,0.0,150000.0,20860.97
