#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,14000.0,0.0,14000.0,13201.2
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,3800000.0,0.0,3800000.0,3685137.18
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,630000.0,0.0,630000.0,606192.24
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,800000.0,0.0,800000.0,-50300.08
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,2200000.0,0.0,2200000.0,1900395.42
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",800000.0,0.0,800000.0,458798.98
30200,RECOLLIDA ESCOMBRARIES,305000.0,0.0,305000.0,369439.16
30201,SERVEI RECOLLIDA ESCOMBRARIES INDUSTRIALS,60000.0,0.0,60000.0,0.0
30500,CEMENTIRI MUNICIPAL,15000.0,0.0,15000.0,14468.7
31100,ACTIVITATS GENT GRAN,1000.0,0.0,1000.0,4416.0
31201,PLA DE FORMACIÓ,2000.0,0.0,2000.0,1894.2
31301,ACTIVITATS ESPORTIVES,2000.0,0.0,2000.0,1950.0
31306,INSTAL·LACIONS ESPORTIVES,1000.0,0.0,1000.0,0.0
31307,PISCINA ESTIU,46000.0,0.0,46000.0,0.6
31400,ACTIVITATS CULTURALS,1000.0,0.0,1000.0,3838.0
31500,ACTIVITATS JUVENILS,41000.0,0.0,41000.0,54243.0
31903,RECOLLIDA ANIMALS DOMÈSTICS,1000.0,0.0,1000.0,350.0
32100,LLICÈNCIES URBANÍSTIQUES,250000.0,0.0,250000.0,151447.83
32200,LLICÈNCIES DE PRIMERA OCUPACIÓ,10000.0,0.0,10000.0,19608.54
32500,SERVEIS ADMINISTRATIUS,10000.0,0.0,10000.0,9893.74
32600,TAXA PER RETIRADA DE VEHICLES,10000.0,0.0,10000.0,6450.0
32700,LLICÈNCIES AUTOTAXIS,1000.0,0.0,1000.0,222.2
32800,LLICÈNCIES ACTIVITATS,100000.0,0.0,100000.0,106527.27
32901,TAXA LLICENCIA GOSSOS POTENCIALMENT PERILLOSOS,1000.0,0.0,1000.0,860.5
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,95000.0,0.0,95000.0,95948.84
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,300000.0,0.0,300000.0,397998.18
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,11000.0,0.0,11000.0,22160.05
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,50000.0,0.0,50000.0,38747.66
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",28000.0,0.0,28000.0,27292.48
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,1000.0,0.0,1000.0,479.7
34100,CESSIÓ PISOS SOCIALS,0.0,0.0,0.0,997.65
34201,ESCOLA BRESSOL,100000.0,0.0,100000.0,85493.74
34300,PREU PUBLIC PISCINA D'ESTIU,0.0,0.0,0.0,44845.0
34901,PREU PUBLIC PRESTACIÓ SERVEIS CAN GAVARRA,80000.0,0.0,80000.0,80582.0
38900,REINTEGRES D'EXERCICIS TANCATS,0.0,0.0,0.0,23517.77
