#Área,Política,Grupo,Programa,Descripción
#
# Áreas de gasto y Políticas, definidas en la Orden HAP/419/2014 y comunes a todas las EELL.
# Ver http://www.boe.es/diario_boe/txt.php?id=BOE-A-2014-2922
0,,,,Deuda pública
0,1,,,Deuda pública
1,,,,Servicios públicos básicos
1,3,,,Seguridad y movilidad ciudadana
1,5,,,Vivienda y urbanismo
1,6,,,Bienestar comunitario
1,7,,,Medio ambiente
2,,,,Actuaciones de protección y promoción social
2,1,,,Pensiones
2,2,,,Otras prestaciones económicas a favor de empleados
2,3,,,Servicios sociales y promoción social
2,4,,,Fomento del empleo
3,,,,Produccion de bienes públicos de caracter preferente
3,1,,,Sanidad
3,2,,,Educación
3,3,,,Cultura
3,4,,,Deporte
4,,,,Actuaciones de caracter económico
4,1,,,Agricultura ganadería y pesca
4,2,,,Industria y energía
4,3,,,"Comercio, turismo y pequeñas y medianas empresas"
4,4,,,Transporte público
4,5,,,Infraestructuras
4,6,,,"Investigación, desarrollo e innovación"
4,9,,,Otras actuaciones de caracter económico
9,,,,Actuaciones de caracter general
9,1,,,Órganos de gobierno
9,2,,,Servicios de carácter general
9,3,,,Administración financiera y tributaria
9,4,,,Transferencias a otras administraciónes públicas
#
# Programas específicos de Polinya
#
0,1,1,0,Deuda pública
1,3,0,0,Administración general de la seguridad y protección civil
1,3,2,0,Seguridad y orden público
1,3,5,0,Protección civil
1,3,6,0,Servicio de prevención y extinción de incendios
1,5,0,0,Administración general de vivienda y urbanismo
1,5,1,0,Urbanismo
1,5,3,0,Vías públicas
1,5,3,2,Pavimentación de vías públicas
1,5,3,3,Infraestructura y bienes naturales
1,6,0,0,Alcantarillado
1,6,0,1,Bienestar comunitario
1,6,2,0,"Recogida, eliminación y tratamiento de residuos"
1,6,2,1,Recogida de residuos
1,6,2,2,Gestión de residuos sólidos urbanos
1,6,2,3,Tratamiento de residuos
1,6,2,4,Desechería
1,6,3,0,Limpieza viaria
1,6,4,0,Cementerio y servicios funerarios
1,6,5,0,Alumbrado público
1,6,9,0,Otros servicios de bienestar comunitario
1,7,0,0,Administración general del medio ambiente
1,7,1,0,Parques y jardines
1,7,2,2,"Protección contra la contaminación acústica, lumínica y atmosférica"
1,7,2,0,Protección y mejora del medio ambiente
1,7,9,0,Otras actuaciones relacionadas con el medio ambiente
2,2,1,0,Otras prestaciones económicas a favor de empleados
2,3,0,0,Administración general de servicios sociales
2,3,1,0,Asistencia social primaria
2,3,2,0,Promoción social
2,3,3,0,Asistencia a personas dependientes
2,4,1,0,Fomento del empleo
2,4,2,0,Formación básica
3,1,1,0,Protección de la salubridad pública
3,1,3,0,Bienestar animal
3,2,0,0,Administración general de educación
3,2,3,0,Funcionamiento de centros de enseñanza preescolar y primaria
3,2,3,1,Funcionamiento de guarderías municipales
3,2,3,2,Funcionamiento de escuelas públicas
3,2,6,0,Servicios complementarios de educación
3,2,6,1,Proyecto Bòbila
3,3,0,0,Administración general de cultura
3,3,2,1,Bibliotecas públicas
3,3,3,0,Equipamientos culturales y museos
3,3,4,0,Promoción cultural
3,3,6,0,Protección y gestión del patrimonio histórico-artístico
3,3,7,0,Instalaciones de ocupación del tiempo libre
3,3,8,0,Fiestas populares
3,4,0,0,Administración general de deportes
3,4,1,0,Promoción y fomento del deporte
3,4,2,0,Instalaciones deportivas
4,3,0,0,"Administración general de comercio, turismo y pymes"
4,3,1,0,Actuaciones extraordinarias COVID-19
4,5,1,0,Brigada de obras
4,5,4,0,Caminos vecinales
4,5,5,0,Puentes
4,5,6,0,Infraestructuras
4,5,9,0,Huertos
4,5,9,9,Otras infraestructuras
4,9,1,0,Sociedad de la información
9,1,0,0,Presidencia
9,1,2,0,Órganos de gobierno
9,2,0,0,Administración general
9,2,3,0,Información básica y estadística
9,2,3,2,Publicaciones
9,2,4,0,Participación ciudadana
9,2,9,9,Programa transversal
9,2,9,0,Área de atención a las personas
9,2,9,3,Administración general de educación
9,3,2,0,Gestión del sistema tributario
9,3,3,0,Gestión del patrimonio
9,3,4,0,Gestión de deuda y de la tesorería
9,4,2,0,Transferencias a entidades locales territoriales
