#Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
01,912,10000,,118468.0,,118468.0,59234.0
01,912,16000,,38000.0,,38000.0,19058.64
01,912,22601,,4000.0,,4000.0,1842.17
01,912,23000,,300.0,,300.0,
01,912,23100,,500.0,,500.0,
01,912,23300,,18000.0,,18000.0,6759.0
01,912,48300,,30.8,,30.8,15384.6
01,912,48301,,6448.2,,6448.2,
01,912,48302,,6448.2,,6448.2,
01,912,48303,,4288.2,,4288.2,
01,912,48304,,5008.2,,5008.2,
01,912,48305,,4288.2,,4288.2,
01,912,48306,,4288.2,,4288.2,
01,920,12003,,10508.0,,10508.0,5303.06
01,920,12004,,8746.0,,8746.0,4540.44
01,920,12006,,2197.0,,2197.0,1098.39
01,920,12100,,10213.0,,10213.0,5275.29
01,920,12101,,27686.0,,27686.0,14382.65
01,920,13000,,16533.0,,16533.0,400.39
01,920,13002,,22270.0,,22270.0,762.96
01,920,14300,,,,,16450.87
01,920,15000,,1800.0,,1800.0,
01,920,16000,,26500.0,,26500.0,13144.1
02,011,31000,,60000.0,,60000.0,19734.52
02,011,91100,,58360.0,,58360.0,
02,011,91300,,795100.0,,795100.0,357539.42
02,011,91302,,30147.0,,30147.0,
02,221,16000,,10605.0,,10605.0,
02,221,16106,,,,,569.39
02,221,16200,,9000.0,,9000.0,655.05
02,221,16204,,24140.0,,24140.0,27560.58
02,920,12000,,42117.0,,42117.0,7374.7
02,920,12001,,41987.0,,41987.0,20329.83
02,920,12003,,42761.0,,42761.0,21523.39
02,920,12004,,43729.0,,43729.0,24500.76
02,920,12006,,28631.0,,28631.0,13751.78
02,920,12100,,91532.0,,91532.0,39439.34
02,920,12101,,284905.0,,284905.0,129952.92
02,920,13000,,53353.0,,53353.0,26497.7
02,920,13002,,76231.0,,76231.0,39290.19
02,920,15000,,9000.0,,9000.0,
02,920,15100,,4000.0,,4000.0,
02,920,16000,,180722.0,,180722.0,74823.78
02,920,21300,,1500.0,,1500.0,3177.85
