#Data,Import,Orgánica,Area,Funcional,Económica,Nom terc.,Text lliure,Document
2019-01-16,1800.0,08,Cultura,,,AMICS DE SANT ANTONI,CAVALCADA DE REIS 2019,001/2019
2019-01-24,2420.0,13,Esports,,,ESTAMPATS MONTSAN. S.L.,SAMARRETES TECNIQUES 10e ANIVERSARI DEL PAS,F2014/006820
2019-01-25,894.52,16,Serveis socials,,,"ABACUS, S.COOP.C.L.",JOGUINES SOLIDÀRIES,9030262494
2019-01-25,998.25,20,Promoció econòmica,,,"ARGOT GRÀFIC DESIGN, S.L.",CARTELLS CAMPANYA EL COMERÇ,18283
2019-01-25,2722.5,02,Serveis generals,,,"AULOCE, S.A. ( ESPUBLICO )",SERVICIOS TECNOLOGIA GESTIONA: PLAN DE MEJORA CONTINUA,2018 12271
2019-01-25,145.2,18,Serveis de manteniment d'edificis i inversions,,,BALDOMERO BARROSO FENÁNDEZ (ROSBAL),REPARACIÓ PORTA POLICIA LOCAL,2018124
2019-01-25,847.0,20,Promoció econòmica,,,"BARALDES MIQUEL, ALBERT",VIDEO COMERÇ,38/2018
2019-01-25,29.34,21,Gent gran,,,CASAL GENT GRAN,MATERIAL FESTA NADAL GENT GRAN - BESTRETA,346023
2019-01-25,8.0,21,Gent gran,,,CASAL GENT GRAN,MATERIAL FESTA NADAL GENT GRAN - BESTRETA,660
2019-01-25,29.87,21,Gent gran,,,CASAL GENT GRAN,MATERIAL TALLERS GENT GRAN - BESTRETA,346024
2019-01-25,30.0,21,Gent gran,,,CASAL GENT GRAN,CONCERT CANTAGRANS 2018-2019 - BESTRETA,406/18
2019-01-25,89.54,21,Gent gran,,,CASAL GENT GRAN,MATERIAL FESTA NADAL GENT GRAN - BESTRETA,355027
2019-01-25,1.58,21,Gent gran,,,CASAL GENT GRAN,MATERIAL FESTA NADAL GENT GRAN - BESTRETA,A-V2018-00004840583
2019-01-25,2788.0,10,Joventut,,,CLUB PATÍ POLINYÀ,HONORARIS MONITORATGE I DINAMITZACIÓ PISTA GEL NADAL 2018,012019
2019-01-25,907.5,08,Cultura,,,"COLOMER MAS, MONTSERRAT",PROTOCOL EMERGENCIA CAVALCADA DE REIS 2019,2/2019
2019-01-25,2006.79,07,Medi ambient,,,CONSORCI GESTIO DE RESIDUS DEL  VALLES OCCIDENTAL,APORTACIÓ AL CONSORCI RESIDUS 2019,APORTACIÓ 2019
2019-01-25,573.62,16,Serveis socials,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",AJUTS A CARITES,YHN0157
2019-01-25,936.01,16,Serveis socials,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",AJUTS A CARITES,YHN0141
2019-01-25,1030.02,16,Serveis socials,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",AJUTS A CARITES,YHN0199
2019-01-25,920.83,16,Serveis socials,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",AJUTS A CARITES,YHN0123
2019-01-25,791.88,16,Serveis socials,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",AJUTS A CARITES,YHN0215
2019-01-25,661.57,16,Serveis socials,,,"CORPORACIÓN ALIMENTARIA GUISSONA, S.A.",AJUTS A CARITES,YHN0177
2019-01-25,514.37,02,Serveis generals,,,"DIMO EXPRES, S.L. - UNIPOST, SERVICIO POSTAL GLOBAL",SERVEI CARTES NOVEMBRE 2018,20180508
2019-01-25,1536.7,08,Cultura,,,DISFRESSES BARQUET SCP,LLOGUER VESTUARI CAVALCADA REIS 2019,2019103
2019-01-25,16.9,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,189888
2019-01-25,26.95,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,Ticket 180907001
2019-01-25,43.0,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,IN190846
2019-01-25,9.9,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,TICKET 1810230008
2019-01-25,4.75,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,20
2019-01-25,7.58,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,671
2019-01-25,5.0,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,19
2019-01-25,37.0,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,2
2019-01-25,14.1,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,01552
2019-01-25,18.91,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,673
2019-01-25,9.45,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,674
2019-01-25,42.08,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,A-V2018-00004036053
2019-01-25,18.85,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,3291
2019-01-25,35.45,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC - BESTRETA,26
2019-01-25,9.0,11,Educació,,,EBM BADABADOC,MATERIAL EBM BADABADOC (ARDECA) - BESTRETA,2018018646
2019-01-25,166.92,16,Serveis socials,,,"ENDERMAR, SL",AJUTS MENJADOR,COL-CAT VFC1810139C
