#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
01,912,22103,Combustibles i carburants.,1000.0,0.0,1000.0,0.0
01,912,48306,APORTACIÓ AL GRUP POLÌTIC ESQUERRA REPUBLICANA DE CATALUNYA,5040.0,0.0,5040.0,1260.0
01,912,10000,RETRIBUCIONS BÀSIQUES I ALTRES RENDIMENTS,152953.0,0.0,152953.0,23090.76
01,912,23100,LOCOMOCIÓ MENBRES ÒRGANS DE GOVERN,500.0,0.0,500.0,0.0
01,912,22200,SERVEIS DE TELECOMUNICACIONS,0.0,0.0,0.0,0.0
01,912,23300,ALTRES INDEMNITZACIONS,20000.0,0.0,20000.0,3540.0
01,912,48301,APORTACIO AL GRUP POLÍTIC CANDIDATURA DE PROGRÉS,10080.0,0.0,10080.0,2520.0
01,912,48303,APORTACIÓ AL GP.. I P CATALUNYA PELS  VERDS ESQUERRA ALT.ENT,0.0,0.0,0.0,0.0
01,912,48300,APORTACIO A GRUPS POLITICS,0.0,0.0,0.0,0.0
01,912,48304,APORTACIÓ AL GP.ASSOC.GUANYEM/GANEMOS POLINYÀ SÍ SE PUEDE,0.0,0.0,0.0,0.0
01,912,48305,APORTACIÓ AL GRUP POLÍTIC PARTIT POPULAR,0.0,0.0,0.0,0.0
01,912,16000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,53691.0,0.0,53691.0,8781.97
01,912,22199,Altres subministraments.,0.0,3948.58,3948.58,4402.22
01,912,48308,APORTACIÓ AL GRUP POLINYÀ EN COMÚ PODEM,4320.0,0.0,4320.0,1080.0
01,912,48302,APORTACIÓ AL GRUP POLÍTIC  CONVERGÈNCIA I UNIÓ,0.0,0.0,0.0,0.0
01,912,48307,APORTACIÓ AL GRUP POLÍTIC PARTIT DEMÒCRATA EUPEU CATALÀ,4320.0,0.0,4320.0,1080.0
01,912,23000,DIETES MEMBRES ORGANS DE GOVERN,300.0,0.0,300.0,0.0
01,912,22601,DESPESES DIVERSES,7000.0,1035.0,8035.0,1356.47
01,920,12000,Sous del Grup A1.,15616.0,0.0,15616.0,3587.08
01,920,12101,COMPLEMENT ESPECÍFIC,146263.0,0.0,146263.0,31903.52
01,920,12003,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C1,22636.0,0.0,22636.0,4657.68
01,920,16000,SEGURETAT SOCIAL PERSONAL PRESIDENCIA,99863.0,0.0,99863.0,25288.3
01,920,15100,GRATIFICACIONS,2000.0,0.0,2000.0,0.0
01,920,14300,ALTRE PERSONAL ATÍPIC,0.0,0.0,0.0,0.0
01,920,13100,REMUNERACIONS PERSONAL LABORAL TEMPORAL,37158.0,0.0,37158.0,8206.99
01,920,12001,Sous del Grup A2.,13732.0,0.0,13732.0,3101.66
01,920,13002,ALTRES REMUNERACIONS PERSONAL LABORAL FIX,41703.0,0.0,41703.0,9017.87
01,920,13000,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX,27306.0,0.0,27306.0,6070.18
01,920,12100,COMPLEMENT DE DESTINACIÓ,48194.0,0.0,48194.0,9657.21
01,920,12004,RETRIBUCIONS BÀSIQUES FUNCIONARIS SOUS GRUP C2,26743.0,0.0,26743.0,5814.69
01,920,15000,PRODUCTIVITAT,6000.0,0.0,6000.0,0.0
01,920,12006,TRIENNIS,16382.0,0.0,16382.0,3326.57
02,011,31000,INTERESSOS PRÉSTEC DEL SECTOR PRIVAT I OP. TRESORERIA,25000.0,0.0,25000.0,5139.18
02,011,91100,AMORTITZ. PRESTECS A MIG I LLARG DEL S.PUB.,103038.0,0.0,103038.0,0.0
02,011,91300,AMORTITZACIO PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,687948.0,0.0,687948.0,167442.11
02,011,91302,AMORTITZACIÓ PRÈSTECS A MIG I LLARG FORA DEL S.PÚBLIC,0.0,0.0,0.0,0.0
02,221,16000,SEGURETAT SOCIAL FORMACIÓ I ACCIÓ SOCIAL,0.0,0.0,0.0,0.0
02,221,16200,FORMACIO I PERFECCIONAMENT PERSONAL,10000.0,600.0,10600.0,1022.08
02,221,16204,ACCIÓ SOCIAL PERSONAL,34900.0,0.0,34900.0,30389.9
02,221,16106,INDEMNITZACIONS,0.0,0.0,0.0,0.0
02,491,62900,INSTAL.LACIÓ INFRAESTRUCTURA WI-FI,0.0,0.0,0.0,0.0
02,912,22200,SERVEIS DE TELECOMUNICACIONS,0.0,0.0,0.0,0.0
