#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,14000.0,0.0,14000.0,13195.34
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,4350000.0,0.0,4350000.0,4239943.41
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,610000.0,0.0,610000.0,590760.4
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,800000.0,0.0,800000.0,129503.37
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,2350000.0,0.0,2350000.0,1977078.9
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",1000000.0,0.0,1000000.0,255218.36
30200,RECOLLIDA ESCOMBRARIES,315000.0,0.0,315000.0,314622.0
30201,SERVEI RECOLLIDA ESCOMBRARIES INDUSTRIALS,80000.0,0.0,80000.0,65586.5
30500,CEMENTIRI MUNICIPAL,15000.0,0.0,15000.0,8426.75
31500,ACTIVITATS JUVENILS,0.0,0.0,0.0,0.0
31903,RECOLLIDA ANIMALS DOMÈSTICS,1000.0,0.0,1000.0,180.0
32100,LLICÈNCIES URBANÍSTIQUES,300000.0,0.0,300000.0,95451.34
32200,LLICÈNCIES DE PRIMERA OCUPACIÓ,20000.0,0.0,20000.0,22031.45
32500,SERVEIS ADMINISTRATIUS,10000.0,0.0,10000.0,8981.36
32600,TAXA PER RETIRADA DE VEHICLES,10000.0,0.0,10000.0,4465.0
32700,LLICÈNCIES AUTOTAXIS,1000.0,0.0,1000.0,0.0
32800,LLICÈNCIES ACTIVITATS,120000.0,0.0,120000.0,60536.28
32900,ALTRES TAXES SERVEIS COMPETÈNCIA MUNICIPAL,0.0,0.0,0.0,679.84
32901,TAXA LLICENCIA GOSSOS POTENCIALMENT PERILLOSOS,1000.0,0.0,1000.0,260.0
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,550000.0,0.0,550000.0,905872.51
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,380000.0,0.0,380000.0,220360.82
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,22000.0,0.0,22000.0,18788.93
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,40000.0,0.0,40000.0,54695.35
33600,"TAXA OCUPACIÓ VÓL, SÓL I SUBSÓL",50000.0,0.0,50000.0,0.0
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",28000.0,0.0,28000.0,6693.6
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,1000.0,0.0,1000.0,0.0
34100,CESSIÓ PISOS SOCIALS,1000.0,0.0,1000.0,417.88
34201,ESCOLA BRESSOL,65000.0,0.0,65000.0,52142.07
34300,PREU PUBLIC PISCINA D'ESTIU,42000.0,0.0,42000.0,39961.66
34301,ACTIVITATS ESPORTIVES,2000.0,0.0,2000.0,3114.0
34302,LLOGUER INSTAL.LACIONS ESPORTIVES,1000.0,0.0,1000.0,0.0
34901,PREU PUBLIC PRESTACIÓ SERVEIS CAN GAVARRA,90000.0,0.0,90000.0,57915.0
34902,PREU PÚBLIC ACTIVITATS CULTURALS,3000.0,0.0,3000.0,3391.0
34903,EDUCACIÓ CURSOS FORMACIO ADULTS,3000.0,0.0,3000.0,87.5
34904,ACTIVITATS JOVENTUT,0.0,0.0,0.0,785.0
34905,ACTIVITATS CASAL GENT GRAN,5000.0,0.0,5000.0,5624.0
34906,PREU PUBLIC CASALS D'ESTIU,50000.0,0.0,50000.0,54533.0
34907,PREU PUBLIC MENJADOR EE BB,100000.0,0.0,100000.0,24802.04
38900,ALTRES REINTEGRAMENTS D'OPERACIONS CORRENTS,0.0,0.0,0.0,15931.98
39100,SANCIONS TRIBUTARIES,1000.0,0.0,1000.0,1353.77
39120,MULTES TRANSIT,150000.0,0.0,150000.0,43273.56
39190,ALTRES MULTES I SANCIONS,50000.0,0.0,50000.0,77966.35
39200,RECÀRREC D'EXTEMPORANEÏTAT,8000.0,0.0,8000.0,909.41
39300,INTERESSOS DEUTES TRIBUTÀRIES I ALTRES,1000.0,0.0,1000.0,-9318.53
39901,ALTRES INGRESSOS DIVERSOS,5000.0,0.0,5000.0,637.19
39903,COMPENSACIÓ CÀNON DE DEPOSICIÓ RESIDUS,50000.0,0.0,50000.0,33820.58
39904,GESTIÓ RECOLLIDA RESIDUS DEIXALLERIA,12000.0,0.0,12000.0,12687.75
39906,RECLAMACIÓ DANYS,0.0,1080.0,1080.0,13224.17
39907,INGRESSOS PER EXECUCIONS SUBSIDIÀRIES,0.0,1751.55,1751.55,-13624.49
39910,lINGRESSOS PER CESSIONS HABITTGE SOCIAL,3000.0,0.0,3000.0,5383.07
42000,PARTICIPACIONS EN ELS TRIBUTS DE L'ESTAT,2322240.0,0.0,2322240.0,1792208.02
42090,ALTRES TRANSFERÈNCIES CORRENTS DE L'ESTAT,0.0,0.0,0.0,109088.22
45000,FONS DE COOPERACIÓ,140000.0,0.0,140000.0,134592.82
45080,DE L'ADMINISTRACIÓ GENERAL DE LA COMUNITAT AUTÒNOMA,360000.0,0.0,360000.0,325938.74
45100,TRANSFERÈNCIES D'ORGANISMES AUTÒNOMS DE LA COM.AUTÒNOMA,75000.0,76767.1,151767.1,58854.75
45300,TRANSFERÈNCIES D'ENTITATS DE DRET PÚBLIC GENERALITAT,0.0,0.0,0.0,5000.0
46100,ALTRES TRANSFERÈNCIES DIPUTACIÓ,445000.0,117440.49,562440.49,449378.2
46200,D'AJUNTAMENTS,0.0,0.0,0.0,500.0
46500,ALTRES TRANSFERÈNCIES COMARQUES,320000.0,0.0,320000.0,53447.69
46600,D'ALTRES ENTITATS QUE AGRUPEN MUNICIPIS,0.0,0.0,0.0,400.0
47000,TRANSFERENCIES D'EMPRESES PRIVADES,0.0,0.0,0.0,1000.0
52000,INTERESSOS DE CAIXES I BANCS,0.0,0.0,0.0,21.79
55000,CONCESSIONS ADMINISTRATIVES,65000.0,0.0,65000.0,63345.61
60000,VENDA DE SOLARS,0.0,0.0,0.0,0.0
75300,DE SOC MERC ENT PÚB EMPR I ALTRES ORGA PÚB DEPEN DE CCAA,0.0,178004.97,178004.97,75564.19
76100,DE DIPUTACIONS,0.0,610842.5,610842.5,710279.81
87000,PER A DESPESES GENERALS,0.0,598311.07,598311.07,0.0
87010,PER A DESPESES AMB FINANÇAMENT AFECTAT,0.0,1086633.95,1086633.95,0.0
91100,PRÉSTECS A LL/T D'ENS DEL SECTOR PÚBLIC,0.0,0.0,0.0,0.0
91301,PRÉSTECS REBUTS DE FORA DEL SECTOR PÚBLIC,0.0,818905.11,818905.11,828618.11
