#Data,Import,Orgànica,Àrea ES,Funcional,Econòmica,Nom terc.,Text lliure
2025-01-27,783.12,16,Servicios sociales,,,ALARTE SANZ Y CIA CB,LLOGUER PIS SOCIAL C/BALMES FEBRER 2025
2025-01-27,144.64,18,Servicios de mantenimiento de edificios e inversiones,,,"CECOPI DROGUERIA INDUSTRIAL, S.L.U.",COMPRA MATERIAL BRIGADA
2025-01-27,503.59,02,Servicios generales,,,"LISBONA MILLAN, CARMEN",LLOGUER LOCAT JUTJAT DE PAU - FEBRER 2025
2025-01-27,500,16,Servicios sociales,,,"MANUBENS VIDAL, JOANA",LLOGUER PIS SOCIAL C/CADÍ - FEBRER 2025
2025-01-27,577.83,16,Servicios sociales,,,"MARSAL SOLER ANGEL I CIA, CB",LLOGUER PIS SOCIAL C/CADÍ - FEBRER 2025
2025-01-27,695,16,Servicios sociales,,,"MARTIN LLAMAS, MARIA JESUS",LLOGUER PIS SOCIAL C/ROMANI - FEBRER 2025
2025-01-29,16.26,20,Promoción económica,,,CAN GAVARRA,PREMIS INNOVA POLINYA - BESTRETA CAN GAVARRA
2025-01-29,90.75,02,Servicios generales,,,INFORMÀTICA,RENOVACIO DOMINI PATRIMONIPOLINYA.CAT / EIXLOGISTIC.CAT - BESTRETA INFORMATICA
2025-01-29,257.79,02,Servicios generales,,,INFORMÀTICA,RENOVACIO DOMINI ESGLESIAROMANICADEPOLINYA.CAT / POLINYAJOVE.CAT - BESTRETA INFORMATICA
2025-02-12,503.59,02,Servicios generales,,,"LISBONA MILLAN, CARMEN",LLOGUER LOCAL JUTJAT DE PAU - GENER 2025
2025-02-14,240.16,02,Servicios generales,,,"ALPHABET ESPANYA FLEET MANAGEMENT, SA",ARR.FINANCER CITROEN E C-4 POLICIA LOCAL - QUOTA 1/48 - DESEMBRE 2024
2025-02-14,337.42,03,Seguridad ciudadana,,,"ALPHABET ESPANYA FLEET MANAGEMENT, SA",ARR.FINANCER CITROEN E C-4 POLICIA LOCAL - QUOTA 1/48 - DESEMBRE 2024
2025-02-14,638.39,03,Seguridad ciudadana,,,"ALPHABET ESPANYA FLEET MANAGEMENT, SA",ARR.FINANCER CITROEN E C-4 POLICIA LOCAL - QUOTA 1/48 - DESEMBRE 2024
2025-02-14,235.87,02,Servicios generales,,,"ALPHABET ESPANYA FLEET MANAGEMENT, SA",ARRENDAMENT FINANCER VEHICLE POLICIAL FORD KUGA - DESEMBRE 2024 15/48
2025-02-14,318.64,03,Seguridad ciudadana,,,"ALPHABET ESPANYA FLEET MANAGEMENT, SA",ARRENDAMENT FINANCER VEHICLE POLICIAL FORD KUGA - DESEMBRE 2024 15/48
2025-02-14,680.52,03,Seguridad ciudadana,,,"ALPHABET ESPANYA FLEET MANAGEMENT, SA",ARRENDAMENT FINANCER VEHICLE POLICIAL FORD KUGA - DESEMBRE 2024 15/48
2025-02-14,1036.92,15,Salud y consumo,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA","DESINSECTACIÓ, DESRATITZACIÓ I CONTROL DE PLAGUES DESEMBRE 2024"
2025-02-14,77.42,15,Salud y consumo,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA","DESINFECCTACIÓ, DESRATITZACIÓ CAN GAVARRA DESEMBRE 2024"
2025-02-14,187.13,18,Servicios de mantenimiento de edificios e inversiones,,,"ASCENSORS CAMPRUBI, SA",MANTENIMENT 1RT TRIMESTRE 2025
